shortName,npxG_adjusted_per90,final_third_passes_adjusted_per90,final_third_receptions_adjusted_per90,ground_duels_won_adjusted_per90,air_duels_won_adjusted_per90,smart_passes_adjusted_per90,goals_adjusted_per90,assists_adjusted_per90,key_passes_adjusted_per90,Minutes
W. Bony,0.457468371,10.05533318,17.79020485,9.539675065,12.37579468,1.031316223,0.515658112,0,0.257829056,756
Álvaro Morata,0.780015325,14.92035553,25.49206472,12.74603236,3.598879725,0.674789949,0.82474327,0.299906644,0.449859966,2143
Jesús Rodríguez,0.322919951,15.42340885,29.05339806,11.83656958,0,1.07605178,0.358683927,0.358683927,1.07605178,618
Joselu,0.739185898,16.06680994,21.14053939,6.040154112,16.18761302,0.362409247,0.483212329,0.120803082,0.483212329,1775
Deulofeu,0.300217238,20.67167292,29.10909044,13.07799716,0,1.687483504,0.421870876,0,0.421870876,441
Pedro,0.415491408,23.44219249,29.99805988,9.237813142,0.099331324,0.993313241,0.397325296,0.198662648,0.397325296,1592
A. Sánchez,0.442862669,39.37416055,48.38892404,16.34289382,0.988715996,3.373266339,0.465278116,0.290798822,1.802952699,2639
S. Rondón,0.548412057,17.73859761,26.4983989,15.76764232,10.14676983,0.36499172,0.510988409,0.072998344,0.36499172,2901
T. Hemed,0.624225137,8.503935149,22.75377243,5.975738213,15.3990177,0.229836085,0.45967217,0.229836085,0,883
Philippe Coutinho,0.315785052,38.45339096,36.69937663,15.11150803,0.404772536,2.833407755,0.674620894,0.539696715,1.349241788,1134
T. Walcott,0.359854709,17.83372793,31.42829102,12.57131641,0.584712391,0.438534293,0.438534293,0.292356196,0.730890489,1288
R. Lukaku,0.743095242,13.90002541,23.35204269,8.896016263,6.44961179,0.722801321,0.889601626,0.389200711,0.556001016,2998
D. Sturridge,0.65485332,18.1561859,26.16626791,12.01512302,0.801008201,2.403024604,0.534005468,0.267002734,0.534005468,577
J. Hernández,0.540951215,14.85774752,17.23498713,10.93530218,1.901791683,0.356585941,0.950895841,0,0.832033861,1635
W. Rooney,0.305644828,25.54116194,22.63875717,3.897514971,2.321923813,0.829258505,0.580480953,0.08292585,0.497555103,2328
D. Welbeck,0.562793885,19.92029357,28.45756224,8.181549144,2.727183048,0.355719528,0.59286588,0.237146352,0.474292704,1270
A. Carroll,0.627494323,12.26228338,24.74751736,7.357370027,17.16719673,0.222950607,0.668851821,0,0.668851821,806
J. Defoe,0.730869893,8.905216632,17.49796952,4.999419863,0,0.468695612,0.624927483,0.156231871,0.312463741,1161
S. Agüero,0.81880127,17.74241015,26.83779731,9.607803331,1.024832355,0.832676289,1.088884378,0.384312133,1.024832355,2038
S. Long,0.520317729,14.28181388,26.75175585,6.075099934,7.460649042,0.213161401,0.213161401,0.106580701,0.852645605,1662
G. Murray,0.633396815,11.82875011,22.25557428,7.097250065,10.16396306,0.700962969,0.700962969,0,0.525722227,2279
M. Antonio,0.399582101,14.06644509,27.28890348,18.42704307,6.329900291,0.703322255,0.421993353,0.140664451,0.562657804,1404
H. Robson-Kanu,0.619825022,14.48976749,24.39110861,15.69724811,5.554410871,0.965984499,0.48299225,0,0.724488374,881
H. Kane,1.023532203,12.55344022,20.7829177,8.880396603,2.882641829,0.743907569,1.255344022,0.092988446,0.418448007,3201
P. Crouch,0.484166468,11.63083918,21.71881193,3.085732843,29.43314404,0.118682032,0.593410162,0.237364065,0.356046097,1666
T. Deeney,0.368116715,13.98710113,20.75505329,3.429095761,13.08470751,0.721914897,0.180478724,0.090239362,0.270718086,1940
C. Austin,1.050215676,10.92438088,19.53146884,4.303543983,5.958753207,0.165520922,0.993125534,0,0.165520922,1109
J. Rodriguez,0.574171394,16.50255401,25.32419578,7.528814963,5.247355883,0.304194544,0.456291816,0,0.304194544,2868
A. Barnes,0.633866026,12.45771746,25.18625487,9.839791328,7.853778399,0.54163989,0.812459834,0,0.36109326,2275
S. Vokes,0.57323066,8.799213075,21.71720674,3.931563289,23.96381433,0,0.748869198,0,0.187217299,1095
C. Wood,0.833510332,13.59937012,23.588288,5.054633143,9.86856947,0.120348408,1.203484082,0.120348408,0.481393633,1673
