User_ID,Age,Gender,Daily_Screen_Time(hrs),Sleep_Quality(1-10),Stress_Level(1-10),Days_Without_Social_Media,Exercise_Frequency(week),Social_Media_Platform,Happiness_Index(1-10)
U090,16,Male,3.8,10,6,5,0,X (Twitter),10
U038,43,Female,4.3,8,4,1,1,TikTok,10
U425,31,Female,5.0,7,6,3,4,TikTok,10
U147,47,Male,6.2,5,7,6,1,YouTube,9
U119,35,Female,6.3,6,7,6,4,Facebook,9
U465,16,Female,3.5,8,5,4,3,TikTok,10
U155,47,Female,3.3,8,5,4,4,YouTube,10
U224,32,Female,3.6,7,5,3,1,Facebook,10
U275,28,Female,6.2,3,8,0,3,TikTok,5
U396,39,Female,6.5,5,7,2,2,Instagram,8
U063,40,Female,4.6,7,7,1,3,X (Twitter),10
U399,27,Male,3.9,7,5,0,4,YouTube,10
U411,34,Male,3.8,7,6,7,5,TikTok,10
U421,27,Other,6.3,4,9,5,5,TikTok,6
U305,45,Male,7.7,6,9,2,5,TikTok,6
U408,28,Male,2.6,10,3,4,3,Instagram,10
U163,37,Female,5.3,7,6,4,0,Instagram,10
U397,38,Male,5.4,8,9,5,3,X (Twitter),8
U285,43,Female,3.4,7,7,4,2,X (Twitter),10
U446,16,Female,6.3,6,7,6,0,Facebook,8
U030,33,Male,7.4,6,10,3,4,Instagram,8
U406,40,Male,6.9,3,8,7,1,Facebook,6
U312,38,Male,4.5,7,6,2,1,TikTok,9
U033,29,Female,3.1,8,4,2,2,LinkedIn,10
U455,42,Female,6.2,6,6,3,3,LinkedIn,6
U034,24,Female,6.6,6,7,4,0,TikTok,7
U306,34,Female,5.3,6,6,6,2,YouTube,10
U418,34,Female,5.4,4,5,4,4,X (Twitter),10
U500,43,Female,5.9,5,8,3,3,X (Twitter),7
U218,29,Male,5.6,6,6,0,2,X (Twitter),8
U119,35,Female,6.3,6,7,6,4,Facebook,9
U025,30,Male,5.0,6,6,0,5,X (Twitter),8
U470,48,Female,5.6,6,6,5,3,TikTok,8
U437,22,Female,8.8,2,9,4,2,Facebook,7
U440,42,Male,4.1,6,6,4,2,Facebook,9
U272,41,Male,3.2,8,6,0,4,X (Twitter),10
U220,35,Female,5.3,6,6,3,2,X (Twitter),9
